id,host_id,neighbourhood,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,bedrooms,review_scores_rating
30963141,51017586,Kihei-Makena,Maui,Entire home/apt,162,3,3,NA,4.3
30963143,51017586,Kihei-Makena,Maui,Entire home/apt,24999,3,0,2,NA
30963150,51017586,Kihei-Makena,Maui,Entire home/apt,182,3,0,1,NA
30963173,51017586,Kihei-Makena,Maui,Entire home/apt,492,3,0,2,NA
30963181,51017586,Kihei-Makena,Maui,Entire home/apt,486,3,2,2,4.5
30963192,51017586,Kihei-Makena,Maui,Entire home/apt,224,3,0,1,5
30963198,51017586,Kihei-Makena,Maui,Entire home/apt,280,3,0,2,5
30963201,51017586,Kihei-Makena,Maui,Entire home/apt,162,3,0,1,NA
30963205,51017586,Kihei-Makena,Maui,Entire home/apt,155,3,0,1,NA
30963208,51017586,Kihei-Makena,Maui,Entire home/apt,309,3,2,2,5
30963211,51017586,Kihei-Makena,Maui,Entire home/apt,576,3,0,2,NA
30963216,51017586,Kihei-Makena,Maui,Entire home/apt,562,3,0,2,5
30963224,51017586,Kihei-Makena,Maui,Entire home/apt,162,3,0,NA,4
30963230,51017586,Kihei-Makena,Maui,Entire home/apt,163,3,2,NA,4.5
30963234,51017586,Kihei-Makena,Maui,Entire home/apt,247,3,0,1,NA
30963237,51017586,Kihei-Makena,Maui,Entire home/apt,266,3,1,1,5
30963243,51017586,Kihei-Makena,Maui,Entire home/apt,449,3,0,2,NA
30963258,51017586,Kihei-Makena,Maui,Entire home/apt,585,3,2,3,5
30963260,51017586,Kihei-Makena,Maui,Entire home/apt,182,3,0,1,5
30963265,51017586,Kihei-Makena,Maui,Entire home/apt,309,3,1,2,5
30963267,51017586,Kihei-Makena,Maui,Entire home/apt,351,3,0,1,4.67
30963271,51017586,Kihei-Makena,Maui,Entire home/apt,201,3,0,1,NA
30963276,51017586,Kihei-Makena,Maui,Entire home/apt,421,3,0,2,NA
30963282,51017586,Kihei-Makena,Maui,Entire home/apt,351,3,1,1,5
30963287,51017586,Kihei-Makena,Maui,Entire home/apt,252,3,1,1,5
30963289,51017586,Kihei-Makena,Maui,Entire home/apt,243,3,0,1,5
30963294,51017586,Kihei-Makena,Maui,Entire home/apt,210,3,0,1,NA
30963296,51017586,Kihei-Makena,Maui,Entire home/apt,513,3,0,2,5
30963301,51017586,Kihei-Makena,Maui,Entire home/apt,421,3,1,2,5
30963308,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,1,2,4.5
30963309,51017586,Kihei-Makena,Maui,Entire home/apt,444,3,1,2,5
30963314,51017586,Kihei-Makena,Maui,Entire home/apt,182,3,0,1,4
30963320,51017586,Kihei-Makena,Maui,Entire home/apt,356,3,0,1,5
30963325,51017586,Kihei-Makena,Maui,Entire home/apt,421,3,2,2,4.14
30963327,51017586,Kihei-Makena,Maui,Entire home/apt,196,3,4,2,4.7
30963333,51017586,Kihei-Makena,Maui,Entire home/apt,338,3,0,2,NA
30963335,51017586,Kihei-Makena,Maui,Entire home/apt,562,3,0,1,NA
30963336,51017586,Kihei-Makena,Maui,Entire home/apt,292,3,0,1,NA
30963341,51017586,Kihei-Makena,Maui,Entire home/apt,162,3,1,NA,5
30963345,51017586,Kihei-Makena,Maui,Entire home/apt,196,3,0,1,1
30963349,51017586,Kihei-Makena,Maui,Entire home/apt,182,3,0,1,NA
30963350,51017586,Kihei-Makena,Maui,Entire home/apt,423,3,0,2,NA
30963356,51017586,Kihei-Makena,Maui,Entire home/apt,296,3,0,2,NA
30963364,51017586,Kihei-Makena,Maui,Entire home/apt,465,3,0,2,5
30963365,51017586,Kihei-Makena,Maui,Entire home/apt,338,3,0,2,5
30963372,51017586,Kihei-Makena,Maui,Entire home/apt,493,3,2,2,5
30963396,51017586,Kihei-Makena,Maui,Entire home/apt,389,3,0,1,NA
30963399,51017586,Kihei-Makena,Maui,Entire home/apt,238,3,0,1,NA
30963401,51017586,Kihei-Makena,Maui,Entire home/apt,204,3,1,1,5
30963404,51017586,Kihei-Makena,Maui,Entire home/apt,211,3,0,1,4
30963410,51017586,Kihei-Makena,Maui,Entire home/apt,218,3,0,1,NA
30963414,51017586,Kihei-Makena,Maui,Entire home/apt,824,3,1,1,5
30963419,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,0,1,4
30963420,51017586,Kihei-Makena,Maui,Entire home/apt,309,3,0,2,5
30963422,51017586,Kihei-Makena,Maui,Entire home/apt,238,3,0,1,NA
30963430,51017586,Kihei-Makena,Maui,Entire home/apt,24999,3,0,2,3
30963437,51017586,Kihei-Makena,Maui,Entire home/apt,224,3,2,1,4.5
30963438,51017586,Kihei-Makena,Maui,Entire home/apt,163,3,1,NA,5
30963443,51017586,Kihei-Makena,Maui,Entire home/apt,351,3,0,2,5
30963451,51017586,Kihei-Makena,Maui,Entire home/apt,155,3,0,1,5
30963458,51017586,Kihei-Makena,Maui,Entire home/apt,351,3,1,2,5
30963462,51017586,Kihei-Makena,Maui,Entire home/apt,366,3,2,2,5
30963464,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,2,2,5
30963466,51017586,Kihei-Makena,Maui,Entire home/apt,634,3,0,1,NA
30963469,51017586,Kihei-Makena,Maui,Entire home/apt,352,3,1,2,5
30963473,51017586,Kihei-Makena,Maui,Entire home/apt,296,3,0,2,NA
30963485,51017586,Kihei-Makena,Maui,Entire home/apt,24999,3,0,1,NA
30963492,51017586,Kihei-Makena,Maui,Entire home/apt,337,3,0,1,5
30963502,51017586,Kihei-Makena,Maui,Entire home/apt,252,3,1,1,5
30963505,51017586,Kihei-Makena,Maui,Entire home/apt,844,3,1,2,5
30963511,51017586,Kihei-Makena,Maui,Entire home/apt,247,3,0,1,5
30963517,51017586,Kihei-Makena,Maui,Entire home/apt,323,3,1,2,5
30963518,51017586,Kihei-Makena,Maui,Entire home/apt,298,3,0,1,NA
30963520,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,0,2,NA
30963524,51017586,Kihei-Makena,Maui,Entire home/apt,421,3,1,2,4.5
30963525,51017586,Kihei-Makena,Maui,Entire home/apt,162,3,0,1,NA
30963532,51017586,Kihei-Makena,Maui,Entire home/apt,192,3,1,1,5
30963535,51017586,Kihei-Makena,Maui,Entire home/apt,427,3,1,2,4
30963539,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,3,2,4.71
30963544,51017586,Kihei-Makena,Maui,Entire home/apt,300,3,0,2,NA
30963554,51017586,Kihei-Makena,Maui,Entire home/apt,424,3,0,2,NA
30963558,51017586,Kihei-Makena,Maui,Entire home/apt,365,3,0,1,NA
30963562,51017586,Kihei-Makena,Maui,Entire home/apt,317,3,0,2,NA
30963564,51017586,Kihei-Makena,Maui,Entire home/apt,299,3,0,1,5
30963567,51017586,Kihei-Makena,Maui,Entire home/apt,387,3,1,2,5
30963573,51017586,Kihei-Makena,Maui,Entire home/apt,185,3,0,1,NA
30963578,51017586,Kihei-Makena,Maui,Entire home/apt,493,3,0,3,NA
30963580,51017586,Kihei-Makena,Maui,Entire home/apt,182,3,0,1,NA
30963588,51017586,Kihei-Makena,Maui,Entire home/apt,224,3,0,1,NA
30963590,51017586,Kihei-Makena,Maui,Entire home/apt,270,3,0,1,NA
30963596,51017586,Kihei-Makena,Maui,Entire home/apt,24999,30,0,2,NA
30963600,51017586,Kihei-Makena,Maui,Entire home/apt,296,3,0,1,NA
30963603,51017586,Kihei-Makena,Maui,Entire home/apt,357,3,1,2,4.5
30963610,51017586,Kihei-Makena,Maui,Entire home/apt,176,3,1,1,4
30963611,51017586,Kihei-Makena,Maui,Entire home/apt,395,3,0,1,NA
30963615,51017586,Kihei-Makena,Maui,Entire home/apt,252,3,1,1,5
30963620,51017586,Kihei-Makena,Maui,Entire home/apt,303,3,0,2,5
30963621,51017586,Kihei-Makena,Maui,Entire home/apt,333,3,0,2,4.5
30963624,51017586,Kihei-Makena,Maui,Entire home/apt,280,3,0,1,4.67
30963632,51017586,Kihei-Makena,Maui,Entire home/apt,218,3,0,2,5
30963897,26591491,Primary Urban Center,Honolulu,Private room,129,4,2,NA,4.6
30970072,4307870,Primary Urban Center,Honolulu,Private room,73,30,6,1,4.94
30970887,231405223,Primary Urban Center,Honolulu,Entire home/apt,322,1,28,2,4.71
30973944,154324699,Ewa,Honolulu,Entire home/apt,501,30,1,4,5
30983417,180028818,Lahaina,Maui,Entire home/apt,405,2,26,1,4.98
30984894,49181175,Primary Urban Center,Honolulu,Entire home/apt,110,2,36,1,4.64
30989807,99549548,Puna,Hawaii,Entire home/apt,435,1,3,2,5
30993198,99549548,Puna,Hawaii,Entire home/apt,370,1,1,1,5
30996035,99549548,Puna,Hawaii,Entire home/apt,270,1,25,1,5
31002081,4307870,Primary Urban Center,Honolulu,Private room,73,30,5,1,4.87
31005671,167472705,East Honolulu,Honolulu,Private room,105,30,2,1,4.94
31008058,148721865,Primary Urban Center,Honolulu,Entire home/apt,140,30,2,3,4.25
31008309,148721865,Primary Urban Center,Honolulu,Entire home/apt,200,30,27,3,4.72
31017024,3332623,Primary Urban Center,Honolulu,Entire home/apt,119,30,2,1,4.94
31017433,47475013,North Shore Kauai,Kauai,Entire home/apt,899,2,0,2,NA
31019902,230058035,Primary Urban Center,Honolulu,Private room,70,4,12,1,4.7
31021856,47208806,North Shore Kauai,Kauai,Entire home/apt,703,5,5,4,4.64
31022562,151398424,North Kona,Hawaii,Entire home/apt,217,3,5,1,4.13
31022730,22698433,Primary Urban Center,Honolulu,Entire home/apt,203,3,8,1,4.77
31022860,111808435,North Shore Kauai,Kauai,Entire home/apt,219,1,2,1,4.5
31026667,210430041,Primary Urban Center,Honolulu,Entire home/apt,119,1,41,NA,4.72
31027825,107058431,Kau,Hawaii,Entire home/apt,145,2,25,1,4.78
31038323,396784850,North Kona,Hawaii,Entire home/apt,176,1,2,2,4.29
31038446,396784850,North Kona,Hawaii,Entire home/apt,149,1,0,1,NA
31038452,396784850,North Kona,Hawaii,Entire home/apt,193,1,4,2,5
31038508,396784850,North Kona,Hawaii,Entire home/apt,313,1,2,2,4.25
31038544,396784850,North Kona,Hawaii,Entire home/apt,195,1,5,2,5
31038611,396784850,North Kona,Hawaii,Entire home/apt,152,1,3,2,4.4
31038668,396784850,North Kona,Hawaii,Entire home/apt,164,1,4,2,4.77
31038672,396784850,North Kona,Hawaii,Entire home/apt,125,1,6,1,4.83
31038693,396784850,North Kona,Hawaii,Entire home/apt,99,1,5,1,3.89
31038968,396784850,North Kona,Hawaii,Entire home/apt,230,1,4,3,4.5
31038997,396784850,North Kona,Hawaii,Entire home/apt,184,1,8,3,4.5
31039004,396784850,North Kona,Hawaii,Entire home/apt,128,1,0,2,5
31039031,396784850,North Kona,Hawaii,Entire home/apt,125,1,5,2,4.6
31039098,396784850,North Kona,Hawaii,Entire home/apt,400,1,4,2,4
31039152,396784850,North Kona,Hawaii,Entire home/apt,101,1,6,1,4.5
31039157,396784850,North Kona,Hawaii,Entire home/apt,150,1,3,1,4.75
31039161,396784850,North Kona,Hawaii,Entire home/apt,110,1,3,1,4.33
31039311,396784850,North Kona,Hawaii,Entire home/apt,168,1,4,2,4.63
31039469,396784850,North Kona,Hawaii,Entire home/apt,117,1,1,1,4
31039481,396784850,North Kona,Hawaii,Entire home/apt,181,1,1,2,3.67
31039486,396784850,North Kona,Hawaii,Entire home/apt,135,1,1,1,3
31039490,396784850,North Kona,Hawaii,Entire home/apt,191,1,3,2,4.2
31039505,396784850,North Kona,Hawaii,Entire home/apt,111,1,3,1,4
31039615,396784850,North Kona,Hawaii,Entire home/apt,145,1,8,1,4.55
31039620,396784850,North Kona,Hawaii,Entire home/apt,104,1,4,1,4.2
31039623,396784850,North Kona,Hawaii,Entire home/apt,167,1,0,2,4.67
31039715,396784850,North Kona,Hawaii,Entire home/apt,226,1,0,2,NA
31039720,396784850,North Kona,Hawaii,Entire home/apt,209,1,1,2,5
31039763,396784850,North Kona,Hawaii,Entire home/apt,122,1,6,NA,4.18
31039847,396784850,North Kona,Hawaii,Entire home/apt,301,1,0,1,NA
31039849,396784850,North Kona,Hawaii,Entire home/apt,229,1,3,1,4.67
31039852,396784850,North Kona,Hawaii,Entire home/apt,136,1,5,1,4.43
31039855,396784850,North Kona,Hawaii,Entire home/apt,153,1,0,2,4
31039877,396784850,North Kona,Hawaii,Entire home/apt,207,1,4,2,4.4
31039881,396784850,North Kona,Hawaii,Entire home/apt,132,1,9,2,4.07
31039893,396784850,North Kona,Hawaii,Entire home/apt,150,1,14,1,4.88
31039906,396784850,North Kona,Hawaii,Entire home/apt,209,1,1,2,4.25
31039908,396784850,North Kona,Hawaii,Entire home/apt,153,1,7,2,4.3
31040138,147713325,Ewa,Honolulu,Entire home/apt,517,6,4,2,5
31040141,147713325,Ewa,Honolulu,Entire home/apt,489,6,7,2,5
31040144,130904349,Ewa,Honolulu,Entire home/apt,546,6,4,2,5
31040145,147713325,Ewa,Honolulu,Entire home/apt,914,6,2,2,5
31040212,396784850,North Kona,Hawaii,Entire home/apt,198,1,12,2,4.71
31040227,396784850,North Kona,Hawaii,Entire home/apt,137,1,10,2,4.53
31040256,396784850,North Kona,Hawaii,Entire home/apt,230,1,8,3,4.62
31040287,396784850,South Kohala,Hawaii,Entire home/apt,212,1,3,2,4.8
31040310,396784850,South Kohala,Hawaii,Entire home/apt,223,1,2,2,4.5
31040321,396784850,South Kohala,Hawaii,Entire home/apt,172,1,4,1,4.86
31040438,396784850,South Kohala,Hawaii,Entire home/apt,322,1,1,3,4.75
31040947,396784850,South Kohala,Hawaii,Entire home/apt,156,1,1,1,4.5
31040950,396784850,South Kohala,Hawaii,Entire home/apt,202,1,1,2,4.67
31041056,396784850,South Kohala,Hawaii,Entire home/apt,193,1,3,1,4.8
31041066,396784850,South Kohala,Hawaii,Entire home/apt,317,1,5,3,4.5
31041077,396784850,South Kohala,Hawaii,Entire home/apt,203,1,4,3,4.75
31042920,231869131,Puna,Hawaii,Entire home/apt,90,3,9,3,4.89
31053805,231964944,Lahaina,Maui,Entire home/apt,245,3,13,1,5
31056887,24799207,Primary Urban Center,Honolulu,Private room,177,30,0,1,4.87
31056890,15820446,Lahaina,Maui,Entire home/apt,145,5,13,1,4.56
31057586,49181175,Primary Urban Center,Honolulu,Entire home/apt,119,2,32,1,4.67
31057979,82343034,North Kona,Hawaii,Entire home/apt,267,4,28,2,4.87
31063643,3415930,Puna,Hawaii,Private room,139,1,0,NA,NA
31063660,3415930,Puna,Hawaii,Private room,139,1,1,NA,4
31063675,3415930,Puna,Hawaii,Private room,115,1,3,NA,4.5
31071630,198597255,Primary Urban Center,Honolulu,Entire home/apt,102,1,43,NA,4.57
31072623,27125140,Kihei-Makena,Maui,Entire home/apt,335,1,30,2,4.86
31072758,82356869,East Honolulu,Honolulu,Entire home/apt,1829,3,10,4,4.83
31073966,11425657,North Kona,Hawaii,Entire home/apt,550,2,77,1,4.96
31074381,230552490,Kihei-Makena,Maui,Entire home/apt,210,2,15,1,4.98
31084005,396784850,South Kohala,Hawaii,Entire home/apt,321,1,5,2,4.75
31084020,396784850,South Kohala,Hawaii,Entire home/apt,202,1,0,1,5
31084025,396784850,South Kohala,Hawaii,Entire home/apt,240,1,1,2,5
31084070,396784850,South Kohala,Hawaii,Entire home/apt,462,1,4,3,5
31084089,396784850,South Kohala,Hawaii,Entire home/apt,137,1,1,2,2.5
31084096,396784850,South Kohala,Hawaii,Entire home/apt,122,1,0,1,4
31084102,396784850,South Kohala,Hawaii,Entire home/apt,190,1,5,2,5
31085945,151398424,South Hilo,Hawaii,Entire home/apt,291,3,15,2,4.72
31086023,396784850,Kihei-Makena,Maui,Entire home/apt,451,1,8,2,4.47
31086063,396784850,Kihei-Makena,Maui,Entire home/apt,208,1,4,1,4.67
31086066,396784850,Kihei-Makena,Maui,Entire home/apt,181,1,6,1,4.17
31086074,396784850,Kihei-Makena,Maui,Entire home/apt,590,1,6,2,4.19
31086172,396784850,Primary Urban Center,Honolulu,Entire home/apt,413,1,7,2,4.91
31086209,396784850,Primary Urban Center,Honolulu,Entire home/apt,120,1,4,NA,4.17
31087529,193954031,Puna,Hawaii,Entire home/apt,149,3,38,2,4.97
31088721,43793840,Primary Urban Center,Honolulu,Entire home/apt,240,2,8,1,4.32
31091402,103777377,Primary Urban Center,Honolulu,Entire home/apt,195,30,0,1,4.88
31103329,94717971,Koolauloa,Honolulu,Entire home/apt,425,1,29,3,4.73
31106193,45388803,Primary Urban Center,Honolulu,Entire home/apt,115,30,4,NA,4.54
31107825,60844024,Primary Urban Center,Honolulu,Entire home/apt,175,29,1,3,5
31124246,51013381,Lahaina,Maui,Entire home/apt,331,3,4,2,4.69
31125375,8559332,Puna,Hawaii,Entire home/apt,185,3,18,2,4.88
31126567,232635426,North Kona,Hawaii,Entire home/apt,314,4,34,3,4.98
31127172,86456569,Primary Urban Center,Honolulu,Entire home/apt,179,1,0,1,4.67
31128846,3720043,Primary Urban Center,Honolulu,Private room,60,5,16,NA,4.75
31144030,25764950,North Kona,Hawaii,Entire home/apt,149,19,5,1,4.9
31145026,22635145,Kihei-Makena,Maui,Entire home/apt,255,7,3,1,4.67
31145484,232791073,Primary Urban Center,Honolulu,Entire home/apt,210,30,2,2,5
31147049,111808435,North Shore Kauai,Kauai,Entire home/apt,258,2,18,1,4.61
31149982,11575252,Kihei-Makena,Maui,Entire home/apt,222,3,16,2,4.88
31153067,59489608,Kau,Hawaii,Entire home/apt,167,1,56,1,4.92
31153932,57952089,Puna,Hawaii,Entire home/apt,153,1,97,1,4.98
31166584,85291863,North Kona,Hawaii,Entire home/apt,193,2,8,1,4.59
31171685,14936746,Kapaa-Wailua,Kauai,Entire home/apt,375,3,14,2,4.93
31172472,10548519,Kapaa-Wailua,Kauai,Entire home/apt,171,1,11,1,4.38
31172834,151398424,Lahaina,Maui,Entire home/apt,350,3,16,2,4.83
31174690,61610669,Puna,Hawaii,Entire home/apt,240,2,18,3,4.72
31178856,178171034,Primary Urban Center,Honolulu,Entire home/apt,94,1,51,NA,4.84
31188115,908,Lahaina,Maui,Hotel room,209,1,1,1,4.74
31190610,20867277,Primary Urban Center,Honolulu,Entire home/apt,165,20,6,NA,5
31191166,220584682,Puna,Hawaii,Entire home/apt,85,3,6,2,4.57
31192427,10851572,Kihei-Makena,Maui,Entire home/apt,225,1,20,1,4.81
31196425,94736232,Koolauloa,Honolulu,Entire home/apt,92,2,45,NA,4.88
31208616,233388067,Primary Urban Center,Honolulu,Entire home/apt,100,30,4,1,4.57
31219185,118465247,Lihue,Kauai,Entire home/apt,294,2,8,2,5
31220479,35145092,Kihei-Makena,Maui,Entire home/apt,175,5,10,NA,4.91
31223051,233533133,Koolaupoko,Honolulu,Entire home/apt,174,30,8,NA,5
31223386,231718721,Primary Urban Center,Honolulu,Entire home/apt,96,60,0,3,4.94
31225556,233541415,Kihei-Makena,Maui,Entire home/apt,421,7,0,1,NA
31225612,8764934,Lahaina,Maui,Entire home/apt,290,3,21,2,4.76
31225839,222924324,Primary Urban Center,Honolulu,Entire home/apt,143,3,44,1,4.88
31226821,191237648,North Hilo,Hawaii,Entire home/apt,94,1,96,1,4.67
31226958,51271553,Koolauloa,Honolulu,Entire home/apt,500,30,3,3,5
31235562,51017586,Kihei-Makena,Maui,Entire home/apt,458,3,0,1,NA
31235978,51271553,East Honolulu,Honolulu,Entire home/apt,350,7,0,1,4.93
31238569,144458010,Lahaina,Maui,Entire home/apt,241,1,16,1,4.8
31241358,95130958,Kapaa-Wailua,Kauai,Entire home/apt,250,4,18,1,4.85
31256790,756093,Koloa-Poipu,Kauai,Entire home/apt,425,1,2,2,4.8
31256854,97006413,Koloa-Poipu,Kauai,Entire home/apt,598,3,0,4,3.5
31257674,8764934,Lahaina,Maui,Entire home/apt,249,3,20,2,4.68
31259043,418715100,Lahaina,Maui,Entire home/apt,900,1,1,2,5
31259101,418715100,Lahaina,Maui,Entire home/apt,737,1,1,2,5
31259161,418715100,Lahaina,Maui,Entire home/apt,666,1,1,1,5
31259218,418715100,Lahaina,Maui,Entire home/apt,1337,1,1,2,5
31259262,418715100,Lahaina,Maui,Entire home/apt,1089,1,1,2,5
31259315,418715100,Lahaina,Maui,Entire home/apt,1089,1,4,2,4.86
31259394,418715100,Lahaina,Maui,Entire home/apt,835,1,1,1,5
31259445,418715100,Lahaina,Maui,Entire home/apt,1089,1,0,2,5
31259666,418715100,Lahaina,Maui,Entire home/apt,953,1,0,2,NA
31259782,418715100,Lahaina,Maui,Entire home/apt,1089,1,0,2,5
31267161,233969351,Kihei-Makena,Maui,Entire home/apt,311,2,7,2,4.93
31267484,111808435,South Kohala,Hawaii,Entire home/apt,267,3,7,2,4.75
31267489,111808435,South Kohala,Hawaii,Entire home/apt,197,5,0,2,4.9
31269753,215087525,Primary Urban Center,Honolulu,Entire home/apt,264,4,21,2,4.85
31276633,49441399,North Kona,Hawaii,Entire home/apt,750,1,0,5,5
31281631,8764934,Lahaina,Maui,Entire home/apt,195,3,19,1,4.64
31282919,57649962,Primary Urban Center,Honolulu,Entire home/apt,162,1,35,1,4.98
31285838,9692531,Primary Urban Center,Honolulu,Entire home/apt,180,3,7,1,4.43
31287152,234139036,Koolaupoko,Honolulu,Entire home/apt,250,4,22,2,4.73
31289166,680107,North Shore Kauai,Kauai,Entire home/apt,451,3,1,2,4.25
31290998,30787515,Lahaina,Maui,Entire home/apt,225,2,1,1,4.92
